miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-485-3p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
rno-miR-485-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-486,511,214,687,3857,2237,2691,187,1852,3042,3114,8535,1815,268,251,2787,2076,1470,6170,10128,3495,4319,6787,3901,6588,321,145,772,1221,265,2137,4930,6111,3739,7078,9489,5986,5159,1002,1643,9938,4347,3596,5996,8720,3264,4404,2473,7136
rno-miR-487b-3p,13,9,16,46,1,0,1,0,0,0,1,38,0,4,91,20,2,5,1,0,2,0,3,2,8,1,5,12,13,0,2,1,0,1,0,2,0,26,145,4,1,0,2,2,4,1,0,5
rno-miR-487b-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-488-3p,4,2,2,1,0,0,0,1,1,0,0,6,0,3,6,3,0,0,0,0,0,1,1,0,2,0,2,1,2,1,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,3
rno-miR-488-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-489-3p,2,3,3,16,0,0,0,0,0,1,0,13,1,0,12,8,0,1,0,0,0,0,0,0,3,1,1,7,5,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
rno-miR-489-5p,5,2,4,3,0,0,0,2,0,0,1,11,0,2,13,5,0,0,0,0,1,0,0,0,5,0,2,2,3,0,0,1,0,0,0,2,0,4,7,0,0,0,0,0,1,0,0,0
rno-miR-490-3p,0,0,0,1,0,0,0,0,1,0,6,0,1,0,2,3,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rno-miR-490-5p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-493-3p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-493-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rno-miR-494-3p,1,3,1,6,0,0,0,0,0,0,0,4,0,2,9,7,0,1,0,0,0,0,0,0,1,0,1,7,1,1,1,0,0,0,0,0,1,1,6,0,0,0,0,0,1,0,0,1
rno-miR-494-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rno-miR-495,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-496-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
rno-miR-496-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-497-3p,9,1,0,2,0,0,1,0,0,0,0,11,0,0,4,6,0,0,0,0,0,0,0,1,2,1,0,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rno-miR-497-5p,3914,2276,989,7334,35,62,396,81,233,122,280,7469,89,876,8058,5778,17,181,75,118,73,26,275,92,811,251,1278,5511,1707,42,52,126,60,167,65,476,100,887,1873,78,68,52,27,21,293,55,106,186
rno-miR-499-3p,28,20,14,68,0,0,2,0,3,0,1,117,1,21,68,22,0,0,0,0,1,0,0,1,9,3,17,23,30,0,0,0,0,0,0,3,0,10,27,2,0,0,0,0,1,0,0,0
rno-miR-499-5p,38,21,18,173,0,1,12,0,17,0,34,124,14,25,345,67,0,1,2,1,2,1,6,4,18,3,16,48,25,1,2,6,1,11,0,18,0,12,22,2,0,1,1,0,7,2,1,0
rno-miR-500-3p,39,26,16,152,25,18,5,43,60,19,55,84,0,19,127,115,38,32,37,21,17,31,40,15,5,1,9,73,17,61,46,31,31,45,43,35,19,13,29,17,18,11,28,13,16,25,10,60
rno-miR-500-5p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rno-miR-501-3p,1,0,1,13,3,7,1,7,6,2,5,4,1,2,22,10,2,5,8,6,3,4,10,2,3,0,4,5,4,8,0,9,4,3,8,8,2,1,11,13,5,6,10,8,5,8,4,14
rno-miR-501-5p,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
rno-miR-503-3p,26,4,6,66,6,6,2,14,20,12,8,66,0,2,102,46,10,16,4,8,2,6,8,10,14,2,16,16,4,6,10,0,8,12,10,10,4,16,36,2,2,4,6,4,0,12,8,26
rno-miR-503-5p,8,8,12,20,2,4,4,4,4,8,2,54,0,2,24,30,10,2,6,0,4,4,4,4,8,0,4,38,4,12,4,2,4,2,4,6,8,6,12,0,2,2,2,2,2,0,0,6
rno-miR-504,4,2,0,48,0,0,3,0,0,0,2,8,1,1,89,41,0,1,0,0,0,1,0,0,2,1,1,7,2,0,0,0,1,0,0,1,1,2,1,0,1,0,0,0,2,0,0,0
rno-miR-505-3p,157,57,93,398,20,23,21,51,30,42,86,313,4,53,401,244,16,57,139,31,75,36,63,51,67,19,73,144,63,42,24,56,22,41,40,100,26,110,166,104,43,29,39,54,57,62,30,71
rno-miR-505-5p,1,0,0,3,0,0,0,0,0,0,1,4,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,2
rno-miR-509-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-509-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-511-3p,30,47,9,65,7,14,2,16,22,5,15,65,4,13,122,59,10,16,7,8,1,5,15,2,10,3,18,47,47,17,15,8,14,15,11,26,7,9,33,5,6,3,5,2,4,4,7,17
rno-miR-511-5p,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rno-miR-5132-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
rno-miR-5132-5p,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1
rno-miR-532-3p,6,2,4,25,3,2,2,1,5,1,7,15,1,2,16,33,11,12,1,10,5,11,5,2,1,0,2,21,1,3,6,2,5,3,6,2,7,0,3,3,4,1,1,1,2,5,2,7
rno-miR-532-5p,259,126,204,314,15,31,17,131,39,41,37,595,106,89,399,207,45,95,66,56,56,47,99,64,221,111,288,143,241,71,46,36,53,27,55,123,59,370,660,106,45,20,78,38,52,81,41,172
rno-miR-539-3p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-539-5p,20,13,7,21,0,0,0,0,0,0,0,33,0,5,65,6,0,0,0,0,0,0,0,0,6,0,10,9,2,0,0,0,0,0,0,1,0,42,98,0,0,0,0,0,0,0,0,0
rno-miR-540-3p,2,1,1,8,0,0,0,0,0,0,0,3,0,1,7,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0
rno-miR-540-5p,1,1,1,4,0,0,0,0,0,0,0,5,0,6,10,2,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
rno-miR-541-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
rno-miR-541-5p,4,4,4,20,0,0,2,0,0,0,0,29,0,3,35,16,0,0,0,0,0,0,1,0,4,1,3,10,4,0,0,0,0,0,0,1,0,9,51,1,0,0,0,0,0,0,0,2
rno-miR-542-3p,99,78,51,102,12,15,0,21,48,24,27,453,3,63,294,168,18,42,3,27,6,12,39,27,78,21,54,126,144,18,15,21,12,24,24,24,21,156,234,12,30,0,9,0,30,33,9,63
rno-miR-542-5p,30,21,12,138,15,18,9,60,24,9,24,87,0,9,129,111,21,39,12,27,6,9,24,12,9,0,0,78,9,24,45,6,6,21,21,27,27,9,21,18,3,3,15,0,33,15,0,39
rno-miR-543-3p,5,3,5,5,0,0,0,0,0,0,0,11,0,0,30,9,0,0,0,0,0,1,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0
rno-miR-543-5p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-544-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-544-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-547-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-547-5p,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
rno-miR-551b-3p,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-551b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-582-3p,0,0,0,4,0,2,0,0,0,1,0,11,11,0,10,9,1,3,1,1,0,1,2,3,13,7,3,0,5,0,6,1,2,1,2,8,1,9,13,2,1,0,0,3,4,0,2,2
rno-miR-582-5p,11,10,4,16,2,2,0,4,4,1,3,14,1,2,32,27,3,3,0,0,2,3,6,4,1,1,3,17,9,1,3,4,2,1,3,5,6,2,4,2,1,1,0,2,5,0,2,2
rno-miR-592,9,1,4,13,0,0,0,0,0,0,0,16,1,2,18,4,0,1,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,2,7,1,0,0,1,0,0,0,0,0
rno-miR-598-3p,128,50,54,170,12,2,4,2,4,12,16,220,14,26,296,120,2,8,4,12,12,2,20,10,46,8,48,94,74,12,4,6,4,2,10,20,8,74,158,38,6,8,6,4,42,8,8,18
rno-miR-598-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-615,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,3,1,0,1,0,1,3,0,0,1,1,6,0,8
rno-miR-6215,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6216,1,0,0,0,14,6,0,17,8,10,0,1,0,0,0,0,5,9,6,15,3,10,5,6,0,0,0,1,0,9,74,7,8,7,18,3,57,0,1,1,4,2,9,7,1,6,6,25
rno-miR-628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rno-miR-6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6318,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
rno-miR-6319,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
rno-miR-632,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6324,0,1,0,1,1,1,0,1,1,0,2,1,0,0,0,2,2,5,2,4,0,0,0,0,2,0,1,0,0,6,1,1,1,1,0,1,3,0,0,0,0,0,2,0,1,0,0,0
rno-miR-6325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6328,0,0,2,9,1,1,0,11,3,1,7,1,0,0,6,9,6,8,6,6,1,1,1,4,1,0,0,1,1,16,12,3,3,3,4,3,1,1,0,2,5,0,16,0,1,16,1,23
rno-miR-6329,0,0,1,2,0,0,0,3,1,0,1,6,0,0,3,0,2,0,1,1,0,1,0,1,6,0,2,0,2,3,2,1,1,0,1,1,0,4,5,3,2,1,1,0,0,1,0,3
rno-miR-6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6331,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
rno-miR-6332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-652-3p,234,89,162,769,28,43,41,148,94,52,106,801,2,93,697,626,66,155,128,75,70,61,77,45,101,9,134,503,75,106,89,59,50,54,76,98,68,238,320,108,60,25,108,77,52,83,40,150
rno-miR-652-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
rno-miR-653-3p,3,0,1,1,0,0,0,0,0,0,0,6,0,0,4,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0
rno-miR-653-5p,4,2,1,5,0,0,0,0,0,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
rno-miR-664-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-664-2-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-664-3p,2,0,0,30,0,4,0,0,6,0,2,6,0,0,30,22,12,0,0,2,2,6,0,0,0,0,2,14,0,10,2,0,2,0,0,2,0,0,0,2,0,0,0,0,2,2,0,8
rno-miR-665,2,1,0,2,0,0,0,1,0,0,0,6,0,1,5,3,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
rno-miR-666-3p,1,1,2,4,0,0,0,0,0,0,0,3,0,0,12,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
rno-miR-666-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-667-3p,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rno-miR-667-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
rno-miR-671,4,3,4,36,2,3,1,5,3,5,4,12,0,1,32,18,7,9,4,3,0,3,2,0,2,0,5,10,2,7,0,2,3,4,2,0,4,1,10,1,2,0,3,0,1,4,1,10
rno-miR-672-3p,2,1,0,2,0,1,0,0,0,0,0,2,0,0,5,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rno-miR-672-5p,9,5,28,26,0,0,1,1,0,0,2,45,0,9,42,13,1,2,0,0,1,0,0,0,9,0,17,14,3,0,0,1,0,0,1,3,1,15,14,1,0,0,0,0,1,1,0,0
rno-miR-673-3p,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
rno-miR-673-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-674-3p,8,4,4,46,2,3,5,14,23,5,15,26,1,1,40,38,32,22,8,15,10,8,13,5,3,1,2,20,1,30,19,10,7,9,8,4,11,2,4,3,10,2,10,2,3,9,3,13
rno-miR-674-5p,2,0,0,1,1,0,1,0,0,1,0,4,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rno-miR-675-3p,1,1,0,7,0,0,1,0,1,1,1,3,0,0,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
rno-miR-675-5p,0,0,0,3,1,0,0,0,2,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
rno-miR-676,97,25,80,127,9,10,5,7,18,7,9,138,10,25,253,102,0,9,6,11,15,2,18,9,30,7,41,75,35,2,3,6,2,10,7,32,4,76,124,18,5,5,5,1,33,3,12,13
rno-miR-678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-702-3p,0,0,0,3,0,0,1,0,1,1,0,0,0,0,2,3,0,1,0,1,1,1,1,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
rno-miR-702-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-708-3p,8,3,5,8,2,0,2,0,0,0,0,25,5,2,5,1,0,1,0,0,0,0,0,1,8,5,5,7,14,0,0,0,0,2,1,2,0,6,14,0,0,0,0,0,0,0,0,0
rno-miR-708-5p,44,34,16,152,0,0,6,0,1,0,2,148,0,18,178,108,2,2,0,0,2,0,0,2,16,7,22,117,33,1,0,0,0,0,0,1,0,15,52,1,0,0,0,0,1,1,1,2
rno-miR-709,7,5,0,12,10,11,2,3,30,7,10,21,0,5,4,7,6,12,2,5,21,6,8,3,4,0,3,5,5,6,20,2,5,7,4,7,26,2,4,2,1,3,1,1,14,8,3,8
rno-miR-711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-741-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-741-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-742-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rno-miR-742-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-743a-3p,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0
rno-miR-743a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-743b-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-743b-5p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rno-miR-7578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
