miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-295-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-296-3p,2,1,1,1,3,1,0,1,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,2,1,0,0,0,0
rno-miR-296-5p,1,3,2,31,1,0,2,4,1,1,2,8,0,2,53,41,2,4,3,3,0,1,0,1,2,0,0,8,1,0,0,0,1,1,4,0,0,3,7,0,0,0,0,2,0,2,1,4
rno-miR-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-298-3p,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rno-miR-298-5p,5,4,3,10,4,2,0,7,1,1,10,7,0,1,11,3,0,5,0,0,1,1,2,4,1,2,7,4,2,1,1,1,1,1,2,4,2,10,11,1,1,2,1,1,3,3,0,5
rno-miR-2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-299a-3p,7,1,7,9,0,1,2,0,0,0,0,10,0,1,15,9,0,0,0,0,0,0,0,0,8,0,4,6,5,0,0,0,0,0,0,1,2,6,27,0,0,0,1,0,0,0,0,0
rno-miR-299a-5p,0,0,0,4,0,0,1,0,0,0,0,3,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0
rno-miR-299b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-299b-5p,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
rno-miR-29a-3p,10704,6672,4470,21534,1511,1533,1107,4987,5291,1549,5939,38351,393,5022,29436,14394,5469,6757,969,3649,2105,2543,3092,1998,3668,1365,3824,14070,6189,5641,3075,1476,1929,2187,2346,3651,2577,3589,5278,2230,2370,1106,2410,863,3492,3293,1594,5490
rno-miR-29a-5p,11,14,5,18,0,0,3,0,1,1,2,30,7,10,50,15,0,2,1,1,0,0,4,0,3,3,8,8,18,1,1,1,0,1,2,1,1,1,1,1,0,1,2,0,0,2,1,0
