Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18856115_1	(1.0, 10.639670141597271)	(2.0, 1.872679340866044)	(3.0, 0.9485603975967551)	(4.0, 0.6810799071789336)	(5.0, 0.5039392135375244)	(6.0, 0.43734066213778555)	(7.0, 0.3522506848663553)	(8.0, 0.3059282868841336)	(9.0, 0.2759225663020933)	('>10', 4.828889816164426)	('>50', 2.6281493494936217)	('>100', 7.737536116153108)	('>500', 4.4811927559538685)	('>1k', 14.718502756610624)	('>5k', 7.743800031567378)	('>10k+', 41.844557973090076)
SRR18856116_1	(1.0, 9.72235707793966)	(2.0, 1.623655123525174)	(3.0, 0.8897261349790164)	(4.0, 0.624739299630745)	(5.0, 0.4879769913883224)	(6.0, 0.4141524468930919)	(7.0, 0.35877485387203006)	(8.0, 0.3069694189949637)	(9.0, 0.2824366694720955)	('>10', 5.237371137002485)	('>50', 2.850281807969932)	('>100', 8.74762196450967)	('>500', 5.17899420894928)	('>1k', 16.544851556887465)	('>5k', 7.83713653657379)	('>10k+', 38.89295477141226)
SRR18856117_1	(1.0, 10.549776038838715)	(2.0, 2.028579436271206)	(3.0, 1.0508452953727656)	(4.0, 0.7204846011480178)	(5.0, 0.5560553914920237)	(6.0, 0.43704688064586195)	(7.0, 0.3822605466880271)	(8.0, 0.3305463782943234)	(9.0, 0.2792739864675329)	('>10', 4.827874749226332)	('>50', 2.5234738445785374)	('>100', 7.827947636737735)	('>500', 4.609657986155771)	('>1k', 14.948704500738511)	('>5k', 8.070264107273598)	('>10k+', 40.85720862007102)
SRR18856118_1	(1.0, 8.53708054784538)	(2.0, 1.5268276720463894)	(3.0, 0.8428558924879396)	(4.0, 0.6217094690685057)	(5.0, 0.5086537256475594)	(6.0, 0.3947802427481617)	(7.0, 0.3564020675676204)	(8.0, 0.2939110305583351)	(9.0, 0.2736665720404417)	('>10', 5.138296589546068)	('>50', 3.0046930165000743)	('>100', 9.262805303923669)	('>500', 5.195636581253046)	('>1k', 15.677554103583901)	('>5k', 5.7766960282008295)	('>10k+', 42.588431156982075)
SRR18856119_1	(1.0, 13.089739871329604)	(2.0, 2.4822785153383093)	(3.0, 1.3406886051736773)	(4.0, 0.9668999494676901)	(5.0, 0.7748974165308538)	(6.0, 0.6137592139297636)	(7.0, 0.5295269666487245)	(8.0, 0.47438623383276407)	(9.0, 0.41956092984312116)	('>10', 7.498988934653806)	('>50', 3.947105094604871)	('>100', 12.070711493054752)	('>500', 6.637863647740729)	('>1k', 19.390274348220213)	('>5k', 6.777891023331701)	('>10k+', 22.98542775629942)
SRR18856120_1	(1.0, 16.225058675337948)	(2.0, 2.2148709973868517)	(3.0, 1.1575942878057321)	(4.0, 0.8298143169719335)	(5.0, 0.6689973694337584)	(6.0, 0.5316256170880861)	(7.0, 0.4724900302378202)	(8.0, 0.4227217024150258)	(9.0, 0.3781702867708953)	('>10', 6.520681300101253)	('>50', 3.264789934562235)	('>100', 9.313500083767593)	('>500', 4.263018854524955)	('>1k', 11.623529401313426)	('>5k', 4.545399389239603)	('>10k+', 37.56773775304289)
SRR18856121_1	(1.0, 33.837067101212774)	(2.0, 3.8188662511763227)	(3.0, 1.903792220025573)	(4.0, 1.285468529424622)	(5.0, 1.0029652684662267)	(6.0, 0.8505293773418113)	(7.0, 0.7148587762826862)	(8.0, 0.6195767839595672)	(9.0, 0.541517938153025)	('>10', 9.349981910717538)	('>50', 4.193600173927071)	('>100', 11.29388418811873)	('>500', 5.1771645221151426)	('>1k', 13.324374447498602)	('>5k', 4.165301327647111)	('>10k+', 7.921051183933193)
SRR18856122_1	(1.0, 6.470781511246101)	(2.0, 1.2849312297965776)	(3.0, 0.7449413114448179)	(4.0, 0.5323305065146288)	(5.0, 0.4113538779422155)	(6.0, 0.3682854274697589)	(7.0, 0.3040541778585294)	(8.0, 0.27491476011078586)	(9.0, 0.25584676351107183)	('>10', 4.576758233493053)	('>50', 2.4702447541372283)	('>100', 8.037033420043413)	('>500', 4.7951223836549595)	('>1k', 13.450488709345109)	('>5k', 7.275928262433054)	('>10k+', 48.746984670998685)
SRR18856123_1	(1.0, 9.295771934597694)	(2.0, 1.5753324883013393)	(3.0, 0.8401174409900986)	(4.0, 0.5776839799551016)	(5.0, 0.4816446442221454)	(6.0, 0.3892049722613168)	(7.0, 0.341144341685392)	(8.0, 0.29837641155769634)	(9.0, 0.2865419006009934)	('>10', 4.766783407910526)	('>50', 2.6373976775342602)	('>100', 7.902412207724149)	('>500', 4.530836555258189)	('>1k', 13.85519041480008)	('>5k', 7.556265532432091)	('>10k+', 44.66529609016893)
SRR18856124_1	(1.0, 7.263348143445185)	(2.0, 1.4638861915045314)	(3.0, 0.8611416457302377)	(4.0, 0.6219796262153162)	(5.0, 0.4912201989989009)	(6.0, 0.42517195931804225)	(7.0, 0.3651216778337924)	(8.0, 0.3327366144421088)	(9.0, 0.2944638565744742)	('>10', 5.081777112218876)	('>50', 2.7073459424889865)	('>100', 8.723450264672845)	('>500', 5.653080450568905)	('>1k', 17.630795446135778)	('>5k', 10.628398163231882)	('>10k+', 37.456082706620144)
SRR18856125_1	(1.0, 11.299680081946759)	(2.0, 2.0262290428472585)	(3.0, 1.0576220181229876)	(4.0, 0.7625902927810554)	(5.0, 0.5856451706091997)	(6.0, 0.457600123301815)	(7.0, 0.4278386865823437)	(8.0, 0.3570466526140767)	(9.0, 0.31531964953906905)	('>10', 5.544750153825445)	('>50', 3.0619052765030856)	('>100', 9.493018074323974)	('>500', 6.200056196672785)	('>1k', 19.13068366031873)	('>5k', 8.755238705637101)	('>10k+', 30.524776214374327)
SRR18856126_1	(1.0, 9.058849149128715)	(2.0, 1.6780946862038242)	(3.0, 0.9434365159953656)	(4.0, 0.6625695111128672)	(5.0, 0.5259571921324898)	(6.0, 0.4404996281836949)	(7.0, 0.3810428538057078)	(8.0, 0.3430444434267885)	(9.0, 0.31549627977423506)	('>10', 5.536661537874618)	('>50', 2.9086385049464374)	('>100', 9.141810573756933)	('>500', 5.658328132181205)	('>1k', 16.334004667221016)	('>5k', 8.97718308330754)	('>10k+', 37.09438324094857)
SRR18856127_1	(1.0, 8.057376454765693)	(2.0, 1.4512777572279592)	(3.0, 0.8197203770605545)	(4.0, 0.5992544764456662)	(5.0, 0.45403970276495265)	(6.0, 0.4079587329041977)	(7.0, 0.34637759521475325)	(8.0, 0.3178826347727966)	(9.0, 0.26980642370458113)	('>10', 5.005117261053038)	('>50', 2.822614951596987)	('>100', 8.844983901479086)	('>500', 4.750924192730754)	('>1k', 14.598563818174554)	('>5k', 7.261906408321757)	('>10k+', 43.99219531178267)
SRR18856128_1	(1.0, 11.655032082215849)	(2.0, 2.036465626812246)	(3.0, 1.0074193755558736)	(4.0, 0.7190216855569556)	(5.0, 0.5388090780980568)	(6.0, 0.45917044018147257)	(7.0, 0.3834439755425909)	(8.0, 0.3157968213133757)	(9.0, 0.2871236911384718)	('>10', 5.107957925009426)	('>50', 2.7176741551200796)	('>100', 7.824071996381207)	('>500', 4.483194543600756)	('>1k', 14.1938371689346)	('>5k', 7.419703369221639)	('>10k+', 40.851278065317395)
SRR18856129_1	(1.0, 9.996138914181467)	(2.0, 1.7535589156412486)	(3.0, 0.9276976283700438)	(4.0, 0.648853303081)	(5.0, 0.46755835075676666)	(6.0, 0.4104471991140898)	(7.0, 0.3388504672854486)	(8.0, 0.3065427580592654)	(9.0, 0.2783325301407106)	('>10', 4.703678424631068)	('>50', 2.5315731218325945)	('>100', 7.649206622722978)	('>500', 4.273097896912178)	('>1k', 13.552435584553017)	('>5k', 7.476654572228314)	('>10k+', 44.68537371048982)
SRR18856130_1	(1.0, 11.504942123970082)	(2.0, 2.086613777257653)	(3.0, 1.0470916468016096)	(4.0, 0.6635333556595352)	(5.0, 0.49746257864733134)	(6.0, 0.40640009484506173)	(7.0, 0.3504885010149646)	(8.0, 0.28465587281653754)	(9.0, 0.26430196317148896)	('>10', 4.472857129653747)	('>50', 2.26020531980501)	('>100', 6.872650815242581)	('>500', 3.785102700014663)	('>1k', 11.304081946539695)	('>5k', 6.554685714498752)	('>10k+', 47.6449264600613)
